,id,Name,scID,SG_id,SG_name,TM_id,TM_name,query_name
2201,27660485.0,Alexander Lewis,27660485.0,639520.0,Alexander Lewis,K8vZ917p6QV,Alexander Lewis,alexander lewis
2202,164055187.0,Hoodrich Pablo Juan,164055187.0,609346.0,Hoodrich Pablo Juan,K8vZ917KWNV,Hoodrich Pablo Juan,hoodrich pablo juan
2203,51318913.0,Circoloco,51318913.0,102696.0,Circoloco,K8vZ917usMV,Circoloco,circoloco
2204,23857908.0,Ellen Allien,23857908.0,34705.0,Ellen Allien,K8vZ91745lV,Ellen Allien,ellen allien
2205,137376463.0,Moe Shop,137376463.0,,,,,moe shop
2206,1077810.0,Trampa,1077810.0,176026.0,Trampa,K8vZ917CRof,Trampa,trampa
2207,143760.0,EARMILK,143760.0,,,,,earmilk
2208,17639867.0,Tincup,17639867.0,280737.0,TINCUP,K8vZ9173Omf,Tincup,tincup
2209,120201550.0,Shakewell,120201550.0,144929.0,Shakewell,K8vZ917p7K7,Shakewell,shakewell
2210,1284906.0,Synapson,1284906.0,403648.0,Synapson,K8vZ917p03f,SYNAPSON,synapson
2211,72087044.0,Moving Castle,72087044.0,471771.0,Moving Castle's JAILO,K8vZ9172HGf,Howl's Moving Castle,moving castle
2212,546633.0,MERCER,546633.0,147789.0,Mercer Bears Football,K8vZ9172_Z7,Mercer Bears Softball,mercer
2213,146015853.0,Aux Deep,146015853.0,,,,,aux deep
2214,67412591.0,Drop the Bassline 🔑🔑🔑,67412591.0,,,,,drop the bassline 🔑🔑🔑
2215,183141922.0,Manifesto,183141922.0,515359.0,Manifesto x Wavelength,K8vZ9175TXf,Streetlight Manifesto,manifesto
2216,131433255.0,IAMSU,131433255.0,33305.0,Iamsu,K8vZ917ovgV,Iamsu!,iamsu
2217,8369031.0,Dylan Tallchief,8369031.0,,,,,dylan tallchief
2218,151103373.0,edit this.,151103373.0,,,,,edit this.
2219,1694605.0,BREATHE CAROLINA,1694605.0,2289.0,Breathe Carolina,K8vZ917GQ-V,Breathe Carolina,breathe carolina
2220,104866126.0,Carousel Music,104866126.0,306966.0,Dear Jerry: Celebrating the Music of Jerry Garcia,K8vZ91713Qf,Carousel,carousel 
2221,48039907.0,The Read,48039907.0,666397.0,The Read,K8vZ917pc5f,The Read,the read
2222,261653.0,Monika Kruse,261653.0,41394.0,Monika Kruse,,,monika kruse
2223,79434.0,Sam Paganini,79434.0,47833.0,Sam Paganini,K8vZ917pNK0,Sam Paganini,sam paganini
2224,16633477.0,Dion Timmer,16633477.0,609916.0,Dion Timmer,K8vZ91740z0,Dion Timmer,dion timmer
2225,20870405.0,Dash Berlin World,20870405.0,,,,,dash berlin world
2226,135499232.0,Film Noir Sound,135499232.0,,,,,film noir sound
