id,Name,numFollowers 12/25/2018,scID,numFollowers 1/5/2019
1076223.0,Soundway Records,1680742.0,1076223.0,1680720
21807.0,World Circuit Records,1774444.0,21807.0,1774346
100904.0,sigur rós,2546609.0,100904.0,2546603
1398464.0,Jagjaguwar,2267508.0,1398464.0,2267355
956458.0,Dj Carnage,596612.0,956458.0,596874
48084634.0,XXXTENTACION,3140084.0,48084634.0,3175567
26253177.0,Afrojack,1586202.0,26253177.0,1586492
107010237.0,"Lil Yachty, RD, Lil Boat",751377.0,107010237.0,753456
100910303.0,Ugly God,590453.0,100910303.0,591145
51562330.0,Kehlani,585355.0,51562330.0,586273
5736626.0,Flatbush ZOMBiES,584852.0,5736626.0,585660
82132148.0,HBO Boxing,572778.0,82132148.0,572737
27916777.0,Americarnage,837849.0,27916777.0,837742
375.0,future classic,568734.0,375.0,568739
68181.0,SBTRKT,564257.0,68181.0,564259
259631441.0,MIX ► UNION,552643.0,259631441.0,552578
18295919.0,RUN THE TRAP,549678.0,18295919.0,549790
132790246.0,Juice WRLD,726031.0,132790246.0,740818
70601494.0,☆LiL PEEP☆,1162453.0,70601494.0,1178103
2737750.0,Alok,537846.0,2737750.0,539335
24807743.0,NAV,519163.0,24807743.0,520592
5614319.0,House,515306.0,5614319.0,515519
110803581.0,Jack Ü,513771.0,110803581.0,513789
20352262.0,playboicarti,510366.0,20352262.0,515861
99914158.0,Hypeddit.com,510013.0,99914158.0,509792
191150.0,Royal Society Literature,506524.0,191150.0,506511
1207127.0,Rusko,501096.0,1207127.0,501394
34994724.0,Tchami,494270.0,34994724.0,494651
305413.0,Zeds Dead,6017459.0,305413.0,6017535
175766.0,Spinnin' Records,1625624.0,175766.0,1626921
903800.0,Dim Mak Records,558920.0,903800.0,558967
483960.0,SOULECTION,477497.0,483960.0,478207
9011647.0,beartrap sound,475437.0,9011647.0,475334
77696825.0,Spinnin' Deep,474559.0,77696825.0,474697
753091.0,martinsolveig,1079947.0,753091.0,1079895
26833033.0,Chlöe Howl,5470745.0,26833033.0,5470256
1478437.0,BASTILLE,5197624.0,1478437.0,5197373
369512.0,axwell,3433699.0,369512.0,3433533
300697.0,Sebastian Ingrosso,3414817.0,300697.0,3414599
4904351.0,David Guetta,2319240.0,4904351.0,2320368
199197.0,Steve Aoki,4124995.0,199197.0,4126008
420748.0,nickyromero,3798981.0,420748.0,3798652
118312.0,steveangello,3422989.0,118312.0,3422745
22672179.0,BANKS.,1020315.0,22672179.0,1020289
12057450.0,SOHN,1942787.0,12057450.0,1942701
29968445.0,Armin van Buuren,980183.0,29968445.0,981672
274197.0,dimitrivegasandlikemike,992027.0,274197.0,992252
1038649.0,Eric Prydz,789126.0,1038649.0,789496
1181568.0,Swedish House Mafia,718742.0,1181568.0,718931
4543845.0,St. Lucia,712420.0,4543845.0,712382
2087070.0,Capital Cities,627260.0,2087070.0,627181
2022886.0,nervomusic,610753.0,2022886.0,610878
31037.0,Don Diablo,476187.0,31037.0,476810
1578091.0,TroyBoi,473978.0,1578091.0,474738
4114825.0,London  Grammar,469531.0,4114825.0,469641
3398477.0,JAUZ,468104.0,3398477.0,468476
14514906.0,Majestic Casual,459977.0,14514906.0,460102
5539150.0,Cyril Hahn,456464.0,5539150.0,456427
47805345.0,World Rugby,455284.0,47805345.0,455258
50836921.0,All Blacks,554283.0,50836921.0,554209
27111815.0,ILLENIUM,449522.0,27111815.0,452244
62100.0,Excision,507206.0,62100.0,508089
265325.0,Kill The Noise,3721479.0,265325.0,3721287
542429.0,Never Say Die Records,1028964.0,542429.0,1029352
85006.0,Bassnectar,748306.0,85006.0,749011
4411.0,Gramatik,544330.0,4411.0,544644
19252023.0,Russ,744175.0,19252023.0,746559
2323997.0,Zomboy,466522.0,2323997.0,466904
18512467.0,Galantis,449724.0,18512467.0,450179
124286.0,Above & Beyond,440544.0,124286.0,441209
3941306.0,Mixmag,1397189.0,3941306.0,1398046
203.0,adambeyer,442671.0,203.0,443602
169233.0,DJ Shadow,439323.0,169233.0,439401
36551572.0,San Holo,436317.0,36551572.0,436960
193.0,SoundCloud,435853.0,193.0,435953
17364233.0,Def Jam Recordings,8551790.0,17364233.0,8551427
