,id,Name,scID,SG_id,SG_name,TM_id,TM_name
1476,152883028.0,cuco,152883028.0,617092.0,Cuco,K8vZ917pLe0,Cuco
1477,416928.0,Manila Killa,416928.0,163346.0,Manila Killa,K8vZ9174YL7,Manila Killa
1478,25259300.0,The Chong and Chong Show,25259300.0,,,,
1479,37813123.0,Watkins Family Hour,37813123.0,280345.0,Watkins Family Hour,K8vZ9173OAf,Watkins Family Hour
1480,7532.0,Audiofly,7532.0,79906.0,Audiofly,K8vZ9178rYV,Audiofly
1481,8334954.0,IAMNOBODI,8334954.0,409372.0,IAMNOBODI,K8vZ917K2af,Iamnobodi
1482,149481937.0,Jade Falcon Repost ✅,149481937.0,,,,
1483,238820.0,Oliver Huntemann,238820.0,47856.0,Oliver Huntemann,,
1484,181062.0,Lapalux,181062.0,24071.0,Lapalux,K8vZ917o890,Lapalux
1485,946731.0,coyote kisses,946731.0,22242.0,Coyote Kisses,K8vZ9172lX0,Coyote Kisses
1486,88936.0,Rødhåd,88936.0,352491.0,Rodhad,K8vZ9174N5V,Rodhad
1487,1814899.0,Blastoyz,1814899.0,,,K8vZ91798Lf,Blastoyz
1488,18217449.0,Firepower Records,18217449.0,,,,
1489,2270353.0,Red Bull Music Academy,2270353.0,142134.0,Red Bull Music Academy,K8vZ9175Uv7,Red Bull Music Academy
1490,251374.0,marcel dettmann,251374.0,23941.0,Marcel Dettmann,K8vZ917GOqf,Marcel Dettmann
1491,1499515.0,EH!DE,1499515.0,396268.0,EH!DE,,
1492,4941960.0,DJ Black Coffee,4941960.0,,,,
1493,23207907.0,tarrø,23207907.0,,,,
1494,4851683.0,Moon Boots,4851683.0,138176.0,Moon Boots,K8vZ9172Ht0,Moon Boots
1495,1423532.0,AC Slater,1423532.0,17877.0,AC Slater,K8vZ917uec7,AC Slater
1496,40156276.0,Trap Party,40156276.0,579734.0,Trap Party,Z7r9jZa5dL,The Silent Trap Party
1497,128419641.0,The Power House,128419641.0,,,,
1498,2299521.0,Super-flu.de,2299521.0,42500.0,Super Flu,,
1499,22320.0,stephanbodzin,22320.0,,,K8vZ917GKHV,Stephan Bodzin
1500,342728.0,Habstrakt,342728.0,130517.0,Habstrakt,K8vZ917Kh37,Habstrakt
1501,40854964.0,Friends Without Benefits,40854964.0,486745.0,Friends Without Benefits,,
1502,5802.0,catz n dogz,5802.0,40832.0,Catz 'n Dogz,K8vZ917fIJ7,Catz 'n Dogz
1503,113498163.0,The Tipsy Tortoise,113498163.0,,,,
1504,14766.0,Mayhem,14766.0,4213.0,Rockstar Energy Mayhem Festival,K8vZ9171PNf,Mayhem
1505,35135522.0,Sideshow Master Feed,35135522.0,,,,
1506,2154862.0,Hand Of Pod,2154862.0,,,,
1507,24104156.0,SBS The World Game,24104156.0,,,,
1508,22618815.0,5live Sport Specials,22618815.0,,,,
1509,25265831.0,The George Lopez,25265831.0,,,K8vZ9171i6f,George Lopez
1510,6052170.0,MONXX,6052170.0,644330.0,Monxx,K8vZ917pAy0,Monxx
1511,643082.0,Alvin Risk,643082.0,18164.0,Alvin Risk,K8vZ917CBU7,Alvin Risk
1512,132582.0,Fever Ray,132582.0,728.0,Fever Ray,K8vZ917G9G0,Fever Ray
1513,107930687.0,LYD,107930687.0,389483.0,Lydia Ainsworth,K8vZ917f8Vf,Digte & Lyd
1514,189678.0,Gallant,189678.0,316878.0,Gallant,K8vZ9175-7f,Lennie Gallant
1515,336637.0,Kill Rock Stars,336637.0,,,,
1516,29984.0,user3671124,29984.0,,,,
1517,1794934.0,Jamiroquai,1794934.0,7246.0,Jamiroquai,K8vZ9171hN7,Jamiroquai
1518,1103533.0,Ricardo Villalobos,1103533.0,29273.0,Ricardo Villalobos,K8vZ917GLgV,Ricardo Villalobos
1519,53932182.0,CURBI,53932182.0,527145.0,Curbi,Z7r9jZaG4m,Curbi
1520,213102230.0,Discovery Team,213102230.0,,,,
1521,18516211.0,BBC World Service Radio,18516211.0,,,,
1522,200516.0,Charlotte de Witte,200516.0,393245.0,Charlotte de Witte,K8vZ917pnWV,Charlotte De Witte
1523,41522860.0,Dubdogz,41522860.0,,,,
1524,48554944.0,DARKSIDE (USA),48554944.0,,,,
1525,6139189.0,Trentemøller,6139189.0,8716.0,Trentemoller,K8vZ917uDj7,Trentemoller
1526,21332328.0,BuzzFeed,21332328.0,362796.0,Buzzfeed's Lewberger Live!,,
1527,505676.0,djalvaro,505676.0,,,K8vZ9178gyf,Alvaro
1528,191900612.0,Two Feet,191900612.0,627985.0,Two Feet,K8vZ9174R7V,Two Feet
1529,25406.0,Suara,25406.0,175376.0,Suara,K8vZ917peGV,Suara
1530,25263287.0,Brian's House,25263287.0,,,K8vZ9171LM0,Oddo and Brian's House of Toys
1531,5654859.0,Matstubs,5654859.0,,,,
1532,67248.0,Jayceeoh,67248.0,256433.0,JayCeeOh,K8vZ917Cl-7,Jayceeoh
1533,3569812.0,TIGA,3569812.0,362451.0,Tigana Santana,K8vZ917ujY0,Tiga
1534,234193.0,DJ EZ,234193.0,27975.0,DJ EZ,K8vZ9178ikf,DJ Ez
1535,231276149.0,landoncube,231276149.0,,,K8vZ917pgn7,Landon Cube
1536,25266868.0,Kyle Cease: Kyle's Cult,25266868.0,,,,
1537,41698515.0,The Him,41698515.0,595409.0,The Him,K8vZ9174Rtf,The Him
1538,120958.0,Matador_Official,120958.0,,,,
1539,3355313.0,Fakear,3355313.0,305148.0,Fakear,K8vZ917KsxV,Fakear
1540,273.0,ripperton,273.0,57520.0,Ripperton,,
1541,171322.0,wankelmut,171322.0,47942.0,Wankelmut,K8vZ917otuV,Wankelmut
1542,16253388.0,Stööki Sound,16253388.0,306067.0,Stooki Sound,K8vZ917Koqf,Stooki Sound
1543,212395071.0,Supreme Boutiqué,212395071.0,,,,
1544,28159025.0,WHYY Public Media,28159025.0,,,,
1545,13888041.0,triple j Hack,13888041.0,,,,
1546,4737804.0,European Football Show,4737804.0,,,,
1547,151743158.0,Wintertime,151743158.0,529046.0,Wintertime,K8vZ9174RIV,Wintertime
1548,16642601.0,Bobmouldmusic,16642601.0,,,,
1549,64047977.0,Bear Grillz,64047977.0,688741.0,Bassrush presents Bear Grillz,K8vZ917Kunf,Bear Grillz
1550,9971600.0,Coming Soon!!!,9971600.0,128184.0,Coming Soon,K8vZ91798L0,Coming Soon!!!
1551,512774.0,Unlike Pluto,512774.0,483639.0,Unlike Pluto,K8vZ917foY0,Unlike Pluto
1552,44022407.0,TM88,44022407.0,627845.0,TM88,,
1553,282243.0,Recondite,282243.0,147685.0,Recondite,K8vZ917uEy0,Recondite
1554,137592483.0,Trap Puss,137592483.0,,,,
1555,1205130.0,Julian Jordan,1205130.0,654220.0,Julian Jordan & Maurice West,K8vZ917o2Tf,Julian Jordan
1556,952879.0,breakbot (ed rec),952879.0,,,,
1557,122267.0,huxley,122267.0,680374.0,All This Huxley,K8vZ9179h57,Huxley Anne
1558,9326532.0,Story Worthy,9326532.0,427155.0,Story Worthy LIVE,,
1559,60312.0,Get Physical Music,60312.0,,,,
1560,9818871.0,The Bugle,9818871.0,676592.0,The Bugle Podcast,Z7r9jZaGA0,The Bugle Podcast
1561,54149232.0,The Game Podcast,54149232.0,,,,
1562,15550.0,AutoErotique,15550.0,22566.0,Autoerotique,K8vZ917u4F0,Autoerotique
1563,91875479.0,Digital Trapstars,91875479.0,,,,
1564,13572627.0,Bob Moses,13572627.0,134030.0,Bob Moses,K8vZ9178Mc7,Bob Moses
1565,9910169.0,Aly & Fila,9910169.0,22546.0,Aly & Fila,K8vZ917GmK7,Aly & Fila
1566,7053951.0,CloZee,7053951.0,342423.0,CloZee,K8vZ9174Uwf,Clozee
1567,44048653.0,Chill Planet,44048653.0,,,,
1568,37812372.0,Legacy Music Hour,37812372.0,,,,
1569,682522.0,Play Me Records,682522.0,,,,
1570,37415962.0,Raury,37415962.0,290383.0,Raury,K8vZ9173X_f,Raury
1571,16215890.0,Owl City,16215890.0,,,,
1572,2723790.0,Manchester Orchestra,2723790.0,1179.0,Manchester Orchestra,K8vZ917Gvm0,Manchester Orchestra
1573,415957.0,Macky Gee,415957.0,648357.0,Macky Gee,K8vZ9179vpf,Macky Gee
1574,2396.0,KiNK,2396.0,356217.0,Kink,K8vZ9172xG0,Kink
1575,5091.0,Matthias Tanzmann,5091.0,35460.0,Matthias Tanzmann,K8vZ917C717,Matthias Tanzmann
1576,31010332.0,Metanoia Music,31010332.0,,,,
1577,38820942.0,Answer Me This,38820942.0,,,,
1578,3615803.0,Getting Better Acquainted,3615803.0,,,,
1579,54454034.0,Modern Day Philosophers,54454034.0,,,,
1580,3340563.0,Comedy Dynamics,3340563.0,,,,
1581,39516730.0,Adam Hunter's World,39516730.0,,,,
1582,39509031.0,Uproar Comedy,39509031.0,,,,
1583,1727970.0,Queens of the Stone Age,1727970.0,7978.0,Queens Of The Stone Age,K8vZ9171su7,Queens of the Stone Age
1584,615109.0,LBCradio,615109.0,,,,
1585,25259064.0,Alonzo Bodden: Who's Paying Attention?,25259064.0,,,,
1586,6900.0,zinc,6900.0,280664.0,Chronixx & Zincfence Redemption,K8vZ917GTW0,Zinc Finger
1587,137591046.0,Beats & Breeze,137591046.0,,,,
1588,550036.0,Truth,550036.0,254848.0,Trae the Truth,K8vZ917oOb7,The Damn Truth
1589,6473453.0,Skrux,6473453.0,287747.0,"Mitis, Skrux, Bear Grillz",,
1590,4371266.0,EDEN,4371266.0,317266.0,Brooke Eden,K8vZ9173Hg0,Karise Eden
1591,1500388.0,Paper Diamond,1500388.0,12545.0,Paper Diamond,K8vZ917uMY0,Paper Diamond
1592,335815.0,angxl hxze,335815.0,,,,
1593,108497049.0,Young_Dolph,108497049.0,,,K8vZ9173Tk7,Young Dolph
1594,14528.0,Numbers,14528.0,103649.0,Numbers,K8vZ9172S0V,Numbers
1595,23103768.0,JACKAL,23103768.0,83023.0,Jackal,K8vZ9173yM0,Jackal
1596,75297153.0,HOTEL GARUDA,75297153.0,301724.0,Hotel Garuda,K8vZ9174w6V,Hotel Garuda
1597,24820805.0,Radio Times,24820805.0,,,K8vZ917frfV,RADIO TIMES
1598,14588626.0,Living on Earth,14588626.0,,,,
1599,3900.0,GIGAMESH,3900.0,605441.0,"STRFKR, Gigamesh, Psychic Twin",K8vZ9172kF7,Gigamesh
1600,59405.0,Data Transmission,59405.0,,,,
1601,4816066.0,Total Treble Music,4816066.0,,,,
1602,1662369.0,Dirty Dutch Music,1662369.0,,,,
1603,45274.0,djmag,45274.0,629569.0,DJmag Best Of North America Tour,K8vZ9173Se7,DJ Mag
1604,438195.0,magda,438195.0,82003.0,Banda Magda,K8vZ9174nTf,Banda Magda
1605,74269969.0,Panther's House,74269969.0,,,,
1606,25488031.0,Deepink,25488031.0,,,,
1607,7963012.0,JESSIE J,7963012.0,145931.0,Jessie J Tribute,K8vZ917uMRf,Jessie J
1608,118111822.0,aphextwin,118111822.0,,,K8vZ917Cd50,Aphex Twin
1609,7185.0,NU,7185.0,2105.0,Oklahoma City Thunder,K8vZ917o7Qf,Nu Shooz
1610,64687.0,LUNICE,64687.0,14822.0,Lunice,K8vZ917uM1V,Lunice
1611,137578426.0,Worldwide Mania,137578426.0,,,,
1612,145000.0,The Bloody Beetroots,145000.0,4737.0,The Bloody Beetroots,K8vZ917fHMV,The Bloody Beetroots
1613,6098255.0,Snow Patrol,6098255.0,83.0,Snow Patrol,K8vZ9175J30,Snow Patrol
1614,3277389.0,Amon Tobin,3277389.0,10995.0,Amon Tobin,K8vZ9171xaf,Amon Tobin
1615,103470313.0,LAKEY INSPIRED,103470313.0,,,,
1616,35228969.0,Chillhop Music,35228969.0,,,,
1617,35130728.0,MMA Roasted,35130728.0,,,,
1618,5367367.0,Jazz Cartier,5367367.0,321264.0,Jazz Cartier,K8vZ917f5pV,Jazz Cartier
1619,43412991.0,THOUXAN,43412991.0,651497.0,ThouxanBanFauni,,
1620,884.0,Jimpster,884.0,56569.0,Jimpster,,
1621,162054178.0,Hybrid Trap 🔥,162054178.0,,,,
1622,397362.0,The Hood Internet,397362.0,615302.0,THE HOOD INTERNET 10 YR Anniversary Tour,K8vZ917Cdx7,The Hood Internet
1623,311920.0,Avalon (Nano Records),311920.0,,,,
1624,28794737.0,James  Bay,28794737.0,141310.0,James Bay,K8vZ917oeN0,James Bay
1625,33699922.0,dido,33699922.0,420144.0,Joseph DiDonato,K8vZ9171-gf,Dido
1626,296549.0,AGORIA,296549.0,54035.0,Agoria,K8vZ917CucV,Agoria
1627,563936.0,Blood Orange,563936.0,277443.0,Blood Orange,K8vZ9172_7f,Blood Orange
1628,17693356.0,ICI Radio-Canada Première,17693356.0,,,,
1629,8010682.0,KPCC,8010682.0,292662.0,KPCC & Marketplace: How I Learned The Business of Creativity,,
1630,2863526.0,CosmicGateOfficial,2863526.0,,,,
1631,3921470.0,Morten Granau,3921470.0,354840.0,Morten Granau,,
1632,206657.0,mandragora! 👽,206657.0,641650.0,"Mandragora Mad Monday, Brisbane",K8vZ917pAj7,Mandragora
1633,203410014.0,deadmau5,203410014.0,569.0,Deadmau5,K8vZ917GcSf,deadmau5
1634,1186432.0,Camo & Krooked,1186432.0,24003.0,Camo & Krooked,K8vZ9172sa7,Camo & Krooked
1635,20405927.0,KEY!,20405927.0,1774.0,The Black Keys,K8vZ9179bRf,Queen Key
1636,14480.0,GARMIANI,14480.0,350045.0,Garmiani,K8vZ917oM1f,Garmiani
1637,148737351.0,TuneBoost.net,148737351.0,39296.0,BET Experience,,
1638,29135737.0,Guardian Football Weekly,29135737.0,,,,
1639,264807.0,MEGALODON,264807.0,44632.0,Megalodon,K8vZ917KyLV,Megalodon
1640,433307.0,Krafty Kuts,433307.0,24024.0,Krafty Kuts,K8vZ917ushf,Krafty Kuts
1641,367906.0,Cadenza  Music,367906.0,,,,
1642,552892.0,Ableton,552892.0,450112.0,PHX Ableton Users Group Meeting,,
1643,453920.0,WarnerBrosRecords,453920.0,,,,
1644,3786382.0,Birdy,3786382.0,,,,
1645,3506641.0,JR JR,3506641.0,8720.0,JR JR,K8vZ9171ak7,"Hank Williams, Jr."
1646,2919646.0,The Chain Gang Of 1974,2919646.0,14924.0,The Chain Gang of 1974,K8vZ917u5lV,The Chain Gang of 1974
1647,286860.0,Hospital Records (Label),286860.0,,,,
1648,25262556.0,The Banter Blender,25262556.0,,,,
1649,57073652.0,Doug Loves Minis,57073652.0,,,,
1650,44392803.0,Migos-atl,44392803.0,,,,
1651,216049.0,J Dilla,216049.0,439747.0,J Dilla's Donuts,K8vZ9172_cV,J Dilla
1652,515500.0,stormtrap / عاصفة,515500.0,,,,
1653,192946.0,zygote,192946.0,224655.0,Zygote,K8vZ9171sl7,Zygote
1654,8607408.0,شعراب  | Shi'rap,8607408.0,,,,
1655,154009125.0,No Jumper,154009125.0,610556.0,No Jumper,,
1656,220956875.0,it's different,220956875.0,,,,
1657,4122897.0,Midnight Tyrannosaurus™,4122897.0,326063.0,Midnight Tyrannosaurus,K8vZ9174BvV,Midnight Tyrannosaurus
1658,538244.0,LOUD,538244.0,5999.0,Brandon Flowers,K8vZ9174l57,Rolling Loud
1659,349296.0,Gabriel Boni,349296.0,,,,
1660,36168229.0,Format:B,36168229.0,42124.0,Format:B,K8vZ917GxFf,Format B
1661,604526.0,John Digweed,604526.0,171751.0,Sasha & John Digweed,K8vZ9175Q-7,John Digweed
1662,2257657.0,Devochka,2257657.0,342603.0,Devochka,,
1663,12777624.0,Alexis Ren,12777624.0,,,,
1664,41792998.0,Lil Dicky,41792998.0,265898.0,Lil Dicky,K8vZ91737g0,Lil Dicky
1665,4420810.0,The New Yorker,4420810.0,607612.0,The New Yorkers,K8vZ917uT7V,The New Yorker
1666,2778435.0,FiendBassy,2778435.0,,,,
1667,52474693.0,"Repost | Maximise (Hip Hop, & R&B & Repost)",52474693.0,,,,
1668,145102827.0,Beatific sounds.,145102827.0,,,,
1669,37544715.0,Said The Sky,37544715.0,470997.0,Said The Sky,K8vZ9173Ssf,Said the Sky
1670,156088701.0,Brynny,156088701.0,470534.0,Brynny,,
1671,194344880.0,24hrs,194344880.0,608573.0,24hrs,K8vZ9174qvV,24hrs
1672,30296.0,Black Sun Empire,30296.0,31950.0,Black Sun Empire,K8vZ917p2R7,Black Sun Empire
1673,47486.0,Sonny Fodera,47486.0,46383.0,Sonny Fodera,K8vZ91745g0,Sonny Fodera
1674,27939664.0,Piers Morgan Tonight,27939664.0,,,,
1675,18261184.0,CNN,18261184.0,615823.0,CNN presents Unprecedented,Z7r9jZa1Ct,CNN Presents Unprecedented
1676,2024037.0,Snavs,2024037.0,335908.0,Snavs,K8vZ917K-Qf,Snavs
1677,17484668.0,DOM KENNEDY,17484668.0,14408.0,Dom Kennedy,K8vZ917Gc3V,Dom Kennedy
1678,66686200.0,NAO,66686200.0,141075.0,Chill on the Hill,K8vZ9173Vbf,Nao
1679,4078232.0,BAFTA,4078232.0,,,,
1680,50002953.0,The BBC Academy podcast,50002953.0,,,,
1681,111998.0,Emancipator,111998.0,13583.0,Emancipator Ensemble,K8vZ917u5P0,Emancipator
1682,50894740.0,jinsang,50894740.0,,,,
1683,160763118.0,sayso !,160763118.0,,,K8vZ917CIa0,The Say-So Crazies
1684,2962708.0,deantrbl,2962708.0,,,,
1685,332477018.0,Slammes.com,332477018.0,295611.0,Jingle Ball Concert,,
1686,13933466.0,NPR's On Point,13933466.0,,,,
1687,17013508.0,Here & Now,17013508.0,629036.0,Here/Now,K8vZ917ohGf,Here & Now
1688,6249180.0,Capital Monkey,6249180.0,,,,
1689,45280258.0,Jaymes Young,45280258.0,254752.0,Jaymes Young,K8vZ917oJD0,Jaymes Young
1690,969707.0,Damian Lazarus,969707.0,23393.0,Damian Lazarus,K8vZ9172xH0,Damian Lazarus
1691,203849.0,Beats Antique,203849.0,367729.0,Beats Antique Presents,K8vZ917GPq7,Beats Antique
1692,149641363.0,EPHWURD,149641363.0,404973.0,Ephwurd,K8vZ91741xV,Ephwurd
1693,9896253.0,Andrew Luce,9896253.0,437484.0,Andrew Luce,K8vZ9174n30,Andrew Luce
1694,183584.0,Sharam Jey,183584.0,98671.0,Sharam Jey,K8vZ9173h17,Sharam Jey
1695,23119429.0,Rave Culture Music,23119429.0,,,,
1696,5604716.0,4i20,5604716.0,637031.0,Edge & LIW Present 4i20,,
1697,2687512.0,The M Machine,2687512.0,19794.0,The M Machine,K8vZ91721SV,The M Machine
1698,207967233.0,Selena Gomez,207967233.0,102157.0,Selena Gomez & The Scene,K8vZ917Gp70,Selena Gomez
1699,27940865.0,AC 360,27940865.0,,,,
1700,899794.0,~ Drezo ~,899794.0,312252.0,DREZO,K8vZ917fb8f,Drezo
1701,3124.0,EINMUSIK,3124.0,87316.0,Einmusik,,
1702,489528.0,Lexer,489528.0,344625.0,Lexer,,
1703,63016.0,Cookin Soul,63016.0,466541.0,Cookin' Soul,K8vZ9172sbf,Cookin Soul
1704,104423637.0,Smino,104423637.0,412236.0,Smino,K8vZ917fyD7,Smino
1705,4957531.0,Mt Eden (Official),4957531.0,,,,
1706,3710978.0,16yrold,3710978.0,617593.0,16yrold,K8vZ9174MR7,16yrold
1707,24265195.0,THE VIBE GUIDE,24265195.0,,,,
1708,1248281.0,[ bsd.u ],1248281.0,2072.0,Minnesota Vikings,,
1709,37599272.0,Jim Krenn No Restrictions,37599272.0,,,,
1710,55491663.0,HONNE,55491663.0,296412.0,HONNE,K8vZ9173Wmf,HONNE
1711,75260.0,Tourist,75260.0,297454.0,The Tourist Company,K8vZ917uXL7,Tourist
1712,9851479.0,emengy,9851479.0,,,,
1713,22049540.0,HBK GANG,22049540.0,294342.0,HBK Gang,K8vZ9173yN7,HBK Gang
1714,2275803.0,Vegas,2275803.0,7173.0,Las Vegas Bowl,K8vZ917pkPf,Vegas Golden Knights
1715,90149759.0,Lost Kings,90149759.0,302625.0,Lost Kings,K8vZ917KAa7,Lost Kings
1716,47073216.0,Your EDM's Collection,47073216.0,,,,
1717,25905339.0,All Things Comedy Live,25905339.0,,,,
1718,172743103.0,Lil Durk,172743103.0,161267.0,Lil Durk,K8vZ9173A9f,Lil Durk
1719,114649373.0,Your Network Our Playlist,114649373.0,,,,
1720,1870474.0,Michael Calfan,1870474.0,22676.0,Michael Calfan,K8vZ917pz2f,Michael Calfan
